"Train/step","ppo_discrete_2025-05-21_16-02-29 - _step","ppo_discrete_2025-05-21_16-02-29 - _step__MIN","ppo_discrete_2025-05-21_16-02-29 - _step__MAX","ppo_discrete_2025-05-21_16-02-29 - Train/actor_loss","ppo_discrete_2025-05-21_16-02-29 - Train/actor_loss__MIN","ppo_discrete_2025-05-21_16-02-29 - Train/actor_loss__MAX"
"115000","7072.5","7068","7077","0.2214701134711504","0.016290534287691116","0.52983158826828"
"120000","7370.5","7366","7375","0.189740096940659","-0.05748548358678818","0.5579986572265625"
"125000","7670.5","7666","7675","-0.7475081130862236","-1.0851385593414307","-0.08439561724662781"
"130000","7956.5","7952","7961","0.551358425617218","-0.11610007286071777","1.0463860034942627"
"135000","8251.5","8247","8256","-0.2031626645475626","-0.9480758905410767","0.39242780208587646"
"140000","8551.5","8547","8556","0.053407829254865646","-0.3197134733200073","0.4948175847530365"
"145000","8850.5","8846","8855","-0.15412479043006896","-0.5251220464706421","0.2275967001914978"
"150000","9134.5","9130","9139","-0.3123093217611313","-0.5289636850357056","-0.14321041107177734"
"155000","9431.5","9427","9436","0.2084747776389122","-0.21615317463874817","0.5533240437507629"
"160000","9726.5","9722","9731","0.13427260749740527","-0.15538528561592102","0.5796468257904053"
"165000","10022.5","10018","10027","-0.2680033348500729","-0.748081624507904","0.6840806007385254"
"170000","10300.5","10296","10305","0.0550374835729599","-1.0369266271591187","0.8625211715698242"
"175000","10599.5","10595","10604","-0.08389878598973155","-0.45846879482269287","0.43875354528427124"
"180000","10895.5","10891","10900","-0.09964218065142631","-0.25396865606307983","0.1209632009267807"
"185000","11195.5","11191","11200","0.18803553618490695","-0.17345553636550903","0.44975924491882324"
"190000","11477.5","11473","11482","-0.03976225219666958","-0.34924376010894775","0.4839807152748108"
"195000","11773.5","11769","11778","0.07720429003238678","-0.4594261646270752","0.48675501346588135"
"200000","12073.5","12069","12078","-0.10374652338214219","-0.28893688321113586","0.03385500982403755"
"205000","12352.5","12348","12357","-0.3806425057351589","-0.5949287414550781","-0.03441948443651199"
"210000","12648.5","12644","12653","0.35518989972770215","-0.6027235388755798","1.0332765579223633"
"215000","12950.5","12946","12955","-0.1290270432829857","-1.1257773637771606","1.0024094581604004"
"220000","13248.5","13244","13253","-0.8916770875453949","-1.2123498916625977","-0.29524660110473633"
"225000","13525.5","13521","13530","0.4763112872838974","-0.5276840329170227","1.11692476272583"
"230000","13819.5","13815","13824","-0.26274734884500506","-1.157048225402832","0.8924611210823059"
"235000","14116.5","14112","14121","-0.9438202261924744","-1.352564811706543","-0.16192954778671265"
"240000","14414.5","14410","14419","0.624311038851738","-0.19654059410095215","1.0174975395202637"
"245000","14702.5","14698","14707","-1.0845251508057117","-1.5416126251220703","-0.06503892689943314"
"250000","15000.5","14996","15005","0.3138821393251419","-1.109040379524231","1.1051363945007324"
"255000","15295.5","15291","15300","0.22791473008692265","-0.55082768201828","1.261084794998169"
"260000","15596.5","15592","15601","-0.5346546679735183","-0.9143958687782288","-0.11582639813423157"
"265000","15876.5","15872","15881","-0.3197647489607334","-0.6409607529640198","0.16091476380825043"
"270000","16178.5","16174","16183","0.5151799857616425","0.2906407117843628","0.7427673935890198"
"275000","16478.5","16474","16483","0.005366426659747958","-0.2686237096786499","0.2268354594707489"
"280000","16775.5","16771","16780","-0.6582574814558029","-1.006807565689087","-0.14600016176700592"
"285000","17054.5","17050","17059","-0.17684932991396635","-0.5557180643081665","0.1645837128162384"
"290000","17350.5","17346","17355","0.14612530171871185","-0.4252159297466278","0.7206066846847534"
"295000","17646.5","17642","17651","0.28440811559557916","-0.24660146236419678","0.6587382555007935"
"300000","17941.5","17937","17946","-0.23413310293108225","-0.8309890031814575","0.14613717794418335"
"305000","18222.5","18218","18227","-0.4289849020540714","-0.7242568731307983","0.03676431626081467"
"310000","18516.5","18512","18521","-0.0099569633603096","-0.37803542613983154","0.2929816246032715"
"315000","18817.5","18813","18822","0.08410886758938432","-0.035595376044511795","0.19163502752780914"
"320000","19116.5","19112","19121","0.28518337458372117","0.12323570251464844","0.3701234459877014"
"325000","19395.5","19391","19400","-0.02685723975300789","-0.4497377872467041","0.35952699184417725"
"330000","19690.5","19686","19695","-0.12603401876986026","-0.40665754675865173","0.13864943385124207"
"335000","19989.5","19985","19994","-0.10286943865939975","-0.24350789189338684","0.016383161768317223"
"340000","20287.5","20283","20292","-0.020261633023619652","-0.3470652103424072","0.33594590425491333"
