"Train/step","ppo_discrete_2025-05-21_16-02-29 - _step","ppo_discrete_2025-05-21_16-02-29 - _step__MIN","ppo_discrete_2025-05-21_16-02-29 - _step__MAX","ppo_discrete_2025-05-21_16-02-29 - Train/critic_loss","ppo_discrete_2025-05-21_16-02-29 - Train/critic_loss__MIN","ppo_discrete_2025-05-21_16-02-29 - Train/critic_loss__MAX"
"160000","9726.5","9722","9731","0.040843264386057856","0.03300314396619797","0.04994351044297218"
"165000","10022.5","10018","10027","0.0298385601490736","0.023150287568569183","0.04790351912379265"
"170000","10300.5","10296","10305","0.03268378637731075","0.02109931781888008","0.045184701681137085"
"175000","10599.5","10595","10604","0.029645188339054586","0.02466079592704773","0.03712388873100281"
"180000","10895.5","10891","10900","0.0269237719476223","0.02284879982471466","0.03215978667140007"
"185000","11195.5","11191","11200","0.029238511994481086","0.025052949786186218","0.037119749933481216"
"190000","11477.5","11473","11482","0.025352577865123748","0.018610766157507896","0.03770717233419418"
"195000","11773.5","11769","11778","0.023144526034593584","0.017584627494215965","0.03192894160747528"
"200000","12073.5","12069","12078","0.034480579942464826","0.029468350112438202","0.0406121164560318"
"205000","12352.5","12348","12357","0.02605576943606138","0.019199717789888382","0.03606889396905899"
"210000","12648.5","12644","12653","0.04682001806795597","0.024050772190093994","0.06352993845939636"
"215000","12950.5","12946","12955","0.045120373368263245","0.03849540650844574","0.0540558397769928"
"220000","13248.5","13244","13253","0.0339817238971591","0.02210015431046486","0.047945309430360794"
"225000","13525.5","13521","13530","0.05588918551802635","0.03310217708349228","0.07435957342386246"
"230000","13819.5","13815","13824","0.0688258707523346","0.05704644322395325","0.08561615645885468"
"235000","14116.5","14112","14121","0.061612040549516675","0.04167145490646362","0.11037445813417435"
"240000","14414.5","14410","14419","0.09966764897108078","0.06798756122589111","0.1436857283115387"
"245000","14702.5","14698","14707","0.06531870663166046","0.0320722833275795","0.10461162030696869"
"250000","15000.5","14996","15005","0.060804089345037934","0.026602640748023987","0.09950858354568481"
"255000","15295.5","15291","15300","0.050237685441970825","0.03767600283026695","0.07719375193119049"
"260000","15596.5","15592","15601","0.051314054802060124","0.04151589423418045","0.06033697724342346"
"265000","15876.5","15872","15881","0.033656440861523154","0.026593023911118507","0.042860355228185654"
"270000","16178.5","16174","16183","0.04349438138306141","0.03697332739830017","0.0564143992960453"
"275000","16478.5","16474","16483","0.04458250422030687","0.031111670657992363","0.05466586351394653"
"280000","16775.5","16771","16780","0.040862365253269674","0.031043855473399162","0.052636004984378815"
"285000","17054.5","17050","17059","0.03093142844736576","0.0264459028840065","0.0373498871922493"
"290000","17350.5","17346","17355","0.030445290356874467","0.019880764186382294","0.046077050268650055"
"295000","17646.5","17642","17651","0.03440757617354393","0.02834620699286461","0.03882177919149399"
"300000","17941.5","17937","17946","0.03677378874272108","0.030844075605273247","0.04630666598677635"
"305000","18222.5","18218","18227","0.027105639688670635","0.01981090009212494","0.035975728183984756"
"310000","18516.5","18512","18521","0.020343703776597978","0.017112810164690018","0.02256837859749794"
"315000","18817.5","18813","18822","0.021903015300631525","0.016544602811336517","0.03309803456068039"
"320000","19116.5","19112","19121","0.025987633690238","0.022020984441041946","0.02912803739309311"
"325000","19395.5","19391","19400","0.02089998573064804","0.016142457723617554","0.025726893916726112"
"330000","19690.5","19686","19695","0.021550445817410946","0.01789919286966324","0.02543528564274311"
"335000","19989.5","19985","19994","0.021820786036551","0.019150424748659134","0.025205843150615692"
"340000","20287.5","20283","20292","0.018402013834565877","0.01509171910583973","0.02510254457592964"
"345000","20564.5","20560","20569","0.019687829539179802","0.014294387772679329","0.025795433670282364"
"350000","20859.5","20855","20864","0.025244785472750664","0.018705226480960846","0.033659353852272034"
